B_COUNTRY_ALPHA,V2,V223,V225,V226,V106,V107,V241,IV166,V245
BGD,50,2,40,4,1,5,3,NA,1
BGD,50,2,48,4,1,3,3,NA,1
BGD,50,2,35,9,1,1,3,NA,1
BGD,50,2,52,4,1,3,3,NA,1
BGD,50,2,20,4,1,0,2,NA,1
BGD,50,2,38,3,1,4,3,NA,1
BGD,50,2,26,5,1,1,3,NA,1
BGD,50,1,44,6,1,8,3,1,1
BGD,50,1,26,7,6,0,3,NA,1
BGD,50,1,44,9,1,2,2,3,1
BGD,50,1,36,9,1,1,3,3,1
BGD,50,1,22,9,6,0,3,NA,1
BGD,50,1,50,7,1,1,3,NA,1
BGD,50,1,38,6,1,1,3,NA,1
BGD,50,1,54,5,1,6,3,NA,1
BGD,50,1,49,5,1,7,3,2,1
BGD,50,1,40,3,1,2,3,NA,1
BGD,50,1,22,4,6,0,3,NA,1
BGD,50,1,45,6,1,1,3,NA,1
BGD,50,1,32,5,1,0,3,NA,1
BGD,50,2,32,7,1,1,3,NA,1
BGD,50,2,70,9,1,1,5,3,1
BGD,50,2,38,4,1,3,3,NA,1
BGD,50,2,37,4,1,3,3,NA,1
BGD,50,2,28,4,1,1,3,NA,1
BGD,50,2,30,4,1,1,3,NA,1
BGD,50,2,35,5,1,2,3,NA,1
BGD,50,2,35,5,1,3,3,NA,1
BGD,50,2,43,5,1,7,3,NA,1
BGD,50,2,30,5,1,2,2,NA,1
BGD,50,2,51,5,1,2,3,NA,1
BGD,50,2,44,9,1,1,3,NA,1
BGD,50,2,40,5,1,0,3,NA,1
BGD,50,1,46,7,1,3,2,NA,1
BGD,50,2,30,4,1,2,2,2,1
BGD,50,2,50,2,1,2,2,NA,1
BGD,50,1,29,7,6,0,2,NA,1
BGD,50,1,35,5,1,2,2,NA,1
BGD,50,1,35,3,1,3,2,NA,1
BGD,50,1,35,3,1,3,2,NA,1
BGD,50,1,45,2,1,6,2,1,1
BGD,50,1,55,5,1,5,2,NA,1
BGD,50,1,65,3,1,8,2,NA,1
BGD,50,1,27,3,6,2,2,NA,1
BGD,50,1,22,7,6,0,2,1,1
BGD,50,1,26,9,1,0,2,NA,1
BGD,50,1,48,1,1,6,2,3,1
BGD,50,2,28,3,1,3,3,2,1
BGD,50,1,28,3,6,0,3,2,1
BGD,50,1,35,7,1,2,3,2,1
BGD,50,2,37,1,1,6,3,2,1
BGD,50,1,30,3,1,2,3,2,1
BGD,50,1,36,1,1,3,3,2,1
BGD,50,2,23,1,1,2,3,2,1
BGD,50,1,40,1,1,7,3,2,1
BGD,50,2,36,1,3,1,3,2,1
BGD,50,1,36,1,1,4,3,3,1
BGD,50,1,38,2,1,8,3,3,1
BGD,50,2,35,1,1,3,2,3,1
BGD,50,1,40,2,1,2,2,3,1
BGD,50,2,32,3,1,2,3,3,1
BGD,50,1,42,1,1,5,3,3,1
BGD,50,2,35,1,1,4,3,3,1
BGD,50,1,28,3,1,1,3,3,1
BGD,50,1,52,2,1,3,3,2,1
BGD,50,2,36,1,1,3,3,2,1
BGD,50,1,41,4,1,4,2,1,1
BGD,50,2,23,1,1,3,2,2,1
BGD,50,1,50,9,1,3,3,4,1
BGD,50,2,37,1,1,8,2,2,1
BGD,50,1,42,4,1,3,2,2,1
BGD,50,1,28,2,1,2,3,3,1
BGD,50,2,26,1,1,3,3,3,1
BGD,50,1,45,1,1,3,2,2,1
BGD,50,2,36,1,1,5,2,2,1
BGD,50,1,23,1,6,0,3,2,1
BGD,50,2,38,1,1,5,3,2,1
BGD,50,1,78,5,1,6,3,1,1
BGD,50,2,40,1,1,6,2,2,1
BGD,50,1,26,2,1,0,2,2,1
BGD,50,2,23,1,1,2,2,2,1
BGD,50,1,33,2,1,0,2,3,1
BGD,50,2,44,1,5,4,2,3,1
BGD,50,2,21,1,1,1,2,3,1
BGD,50,1,32,3,1,1,2,3,1
BGD,50,2,32,1,1,3,2,2,1
BGD,50,1,36,2,1,5,2,3,1
BGD,50,2,34,1,1,4,1,3,1
BGD,50,1,26,4,6,0,1,4,1
BGD,50,2,21,1,1,1,1,2,1
BGD,50,1,42,5,1,6,1,2,1
BGD,50,2,34,2,1,4,2,2,1
BGD,50,2,50,1,1,8,1,2,1
BGD,50,1,20,3,6,0,2,2,1
BGD,50,2,24,1,1,2,2,2,1
BGD,50,2,43,3,5,6,2,2,1
BGD,50,1,23,2,1,0,1,2,1
BGD,50,2,35,1,1,8,2,2,1
BGD,50,2,24,1,1,3,2,2,1
BGD,50,1,25,7,6,0,2,2,1
BGD,50,2,36,1,5,3,2,2,1
BGD,50,1,32,2,1,2,2,1,1
BGD,50,2,20,4,1,1,2,2,1
BGD,50,1,75,3,1,5,2,2,1
BGD,50,2,42,1,1,5,2,2,1
BGD,50,2,38,1,1,3,2,3,1
BGD,50,1,29,3,1,3,2,1,1
BGD,50,2,24,1,1,1,2,3,1
BGD,50,1,24,2,1,1,2,1,1
BGD,50,2,55,1,5,1,2,2,1
BGD,50,2,35,1,3,1,2,NA,1
BGD,50,2,25,2,1,2,2,3,1
BGD,50,2,40,1,1,3,1,4,1
BGD,50,1,32,1,1,2,2,3,1
BGD,50,1,30,9,1,1,7,2,1
BGD,50,1,26,4,1,2,7,1,1
BGD,50,2,38,3,1,4,7,NA,1
BGD,50,2,20,4,6,0,7,1,1
BGD,50,2,25,9,6,0,7,1,1
BGD,50,1,48,7,1,1,7,1,1
BGD,50,1,22,9,1,0,7,1,1
BGD,50,2,22,4,1,1,7,1,1
BGD,50,2,25,9,6,0,2,2,1
BGD,50,1,22,9,6,0,7,1,1
BGD,50,1,71,7,1,5,2,2,1
BGD,50,1,40,3,1,3,2,2,1
BGD,50,1,45,2,2,3,2,1,1
BGD,50,1,22,7,6,2,2,1,1
BGD,50,1,42,9,1,2,1,2,1
BGD,50,1,40,4,1,4,2,2,1
BGD,50,1,29,3,1,1,2,2,1
BGD,50,1,42,9,1,2,2,2,1
BGD,50,1,62,4,1,3,2,2,1
BGD,50,1,60,2,1,3,2,1,1
BGD,50,1,62,2,1,6,2,1,1
BGD,50,1,42,9,1,2,2,2,1
BGD,50,1,35,4,6,0,2,2,1
BGD,50,1,28,4,1,1,2,2,1
BGD,50,1,25,4,1,2,2,1,1
BGD,50,1,58,3,1,1,2,2,1
BGD,50,1,35,5,1,3,2,1,1
BGD,50,1,28,4,1,0,2,4,1
BGD,50,1,42,3,1,1,2,2,1
BGD,50,1,60,2,1,5,2,1,1
BGD,50,1,28,6,1,1,2,1,1
BGD,50,1,25,4,6,0,2,1,1
BGD,50,1,34,2,1,3,2,4,1
BGD,50,1,40,1,1,4,1,3,1
BGD,50,2,45,4,1,6,1,5,1
BGD,50,1,40,5,1,7,1,1,1
BGD,50,1,40,1,1,8,1,3,1
BGD,50,1,27,4,1,1,1,4,1
BGD,50,2,23,1,1,2,1,4,1
BGD,50,1,50,1,1,6,2,NA,1
BGD,50,1,60,1,1,8,2,3,1
BGD,50,1,52,4,1,4,2,2,1
BGD,50,2,30,1,1,5,2,3,1
BGD,50,1,33,2,1,3,2,2,1
BGD,50,1,48,1,1,4,2,3,1
BGD,50,2,35,2,1,7,2,4,1
BGD,50,1,26,3,1,2,2,3,1
BGD,50,1,37,2,1,4,2,3,1
BGD,50,2,42,1,1,8,2,4,1
BGD,50,1,32,1,1,1,2,1,1
BGD,50,2,30,1,1,0,2,4,1
BGD,50,1,26,4,1,1,2,3,1
